Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
482_0,,,,2,2,1,3
C(C(C(C)(C(C(CO)=O)O)O)O)=O,,,3,1,6,17,23
482_1,,,,2,2,1,3
484_0,,,,2,2,1,3
C(C(C(CC(CO)(CO)O)=O)O)=O,,,3,1,3,9,12
486_0,,,,2,2,1,3
C(C(C(C(CO)=O)O)O)=O,,,3,1,16,37,53
486_1,,,,2,2,1,3
488_0,,,,2,2,1,3
C(CO)(C(C(C)(C(CO)O)O)O)=O,,,3,1,4,11,15
488_1,,,,2,2,1,3
490_0,,,,2,2,1,3
C(C(CO)O)(CC(CO)(CO)O)=O,,,3,1,5,9,14
491_0,,,,2,2,1,3
491_1,,,,2,2,1,3
493_0,,,,2,2,1,3
C(C(C(C(CCO)=O)O)O)(CO)=O,,,3,1,9,17,26
493_1,,,,2,2,1,3
495_0,,,,2,2,1,3
C(C(CCO)(C(C(CO)=O)O)O)=O,,,3,1,5,15,20
495_1,,,,2,2,1,3
497_0,,,,2,2,1,3
C(C(C(CO)C(CO)(CO)O)=O)=O,,,3,1,5,13,18
497_1,,,,2,2,1,3
499_0,,,,2,2,1,3
C(CO)(C(C(CO)(CCO)O)O)=O,,,3,1,5,10,15
499_1,,,,2,2,1,3
501_0,,,,2,2,1,3
C(C(C(CO)(CO)O)O)(CCO)=O,,,3,1,5,8,13
501_1,,,,2,2,1,3
503_0,,,,2,2,1,3
C(CO)(C(CO)C(CO)(CO)O)=O,,,3,1,7,9,16
503_1,,,,2,2,1,3
505_0,,,,2,2,1,3
C(C(C(C(C(CO)=O)O)O)O)=O,,,3,1,11,21,32
505_1,,,,2,2,1,3
507_0,,,,2,2,1,3
C(CO)(C(C(CO)(C)O)O)=O,,,3,1,9,12,21
507_1,,,,2,2,1,3
509_0,,,,2,2,1,3
C(CO)(CC(CO)(CO)O)=O,,,3,1,7,10,17
511_0,,,,2,2,1,3
C(C)(C(C(CO)(CO)O)O)=O,,,3,1,7,10,17
511_1,,,,2,2,1,3
513_0,,,,2,2,1,3
C(CC(C(C(C(CO)=O)O)O)O)=O,,,3,1,5,20,25
513_1,,,,2,2,1,3
515_0,,,,2,2,1,3
C(C(CC(C(C(CO)=O)O)O)O)=O,,,3,1,5,19,24
515_1,,,,2,2,1,3
517_0,,,,2,2,1,3
C(C(C(CO)(CO)O)C(C=O)O)=O,,,3,1,6,14,20
517_1,,,,2,2,1,3
519_0,,,,2,2,1,3
C(CO)(C(C(C)O)O)=O,,,3,1,8,30,38
519_1,,,,2,2,1,3
521_0,,,,2,2,1,3
C(CC(CO)(CO)O)=O,,,3,1,4,20,24
523_0,,,,2,2,1,3
C(CO)(C(C(C(CO)=O)O)O)=O,,,3,1,4,8,12
523_1,,,,2,2,1,3
525_0,,,,2,2,1,3
C(C(CO)(C(C(CO)=O)O)O)=O,,,3,1,9,18,27
525_1,,,,2,2,1,3
527_0,,,,2,2,1,3
C(C(C(C(CO)(CO)O)O)=O)=O,,,3,1,3,14,17
527_1,,,,2,2,1,3
528_0,,,,2,2,1,3
530_0,,,,2,2,1,3
C(C(C(CO)=O)C(C(CO)O)O)=O,,,3,1,5,14,19
530_1,,,,2,2,1,3
532_0,,,,2,2,1,3
C(CC(C(C(C(CO)O)O)O)=O)=O,,,3,1,6,15,21
532_1,,,,2,2,1,3
534_0,,,,2,2,1,3
C(C(C(CC(C(CO)O)O)=O)O)=O,,,3,1,4,13,17
536_0,,,,2,2,1,3
C(C(CO)O)(CC(C(CO)O)O)=O,,,3,1,6,13,19
538_0,,,,2,2,1,3
C(C(C(CO)C(C(CO)O)O)=O)=O,,,3,1,12,18,30
538_1,,,,2,2,1,3
540_0,,,,2,2,1,3
C(C(C(C(CO)O)O)O)(CCO)=O,,,3,1,7,13,20
540_1,,,,2,2,1,3
542_0,,,,2,2,1,3
C(CO)(C(CO)C(C(CO)O)O)=O,,,3,1,8,13,21
542_1,,,,2,2,1,3
543_0,,,,2,2,1,3
