Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
433_0,,,,2,2,1,3
C(C(CO)C(CCO)O)=O,,,4,1,8,16,24
433_1,,,,2,2,1,3
435_0,,,,2,2,1,3
C(C(C(CO)C(CCO)O)=O)(O)=O,,,4,1,4,13,17
435_1,,,,2,2,1,3
437_0,,,,2,2,1,3
C(C(C(C(C)=O)=O)C(CCO)O)=O,,,4,1,2,11,13
437_1,,,,2,2,1,3
439_0,,,,2,2,1,3
C(CC(C(CC(CCO)O)=O)=O)=O,,,4,1,1,11,12
441_0,,,,2,2,1,3
C(CO)(C(C(CCO)O)O)=O,,,4,1,3,13,16
441_1,,,,2,2,1,3
443_0,,,,2,2,1,3
C(C(C(C(CCO)O)O)=O)(O)=O,,,4,1,3,11,14
443_1,,,,2,2,1,3
445_0,,,,2,2,1,3
C(C(C=C)C(CCO)O)=O,,,4,1,3,14,17
447_0,,,,2,2,1,3
C=CC(C(C(O)=O)=O)C(CCO)O,,,4,1,1,8,9
449_0,,,,2,2,1,3
C(C(C(C(O)=O)=C)C(CCO)O)=O,,,4,1,1,11,12
451_0,,,,2,2,1,3
C1(C(C(C(C)O1)C(CCO)O)=O)=O,,,4,1,2,8,10
451_1,,,,2,2,1,3
453_0,,,,2,2,1,3
C1(C(C(C(O1)=O)=O)C(CCO)O)=O,,,4,1,2,9,11
453_1,,,,2,2,1,3
455_0,,,,2,2,1,3
C(CC(CCO)O)=O,,,4,1,8,60,68
457_0,,,,2,2,1,3
C(C(C(C)O)C(CCO)O)=O,,,4,1,7,14,21
457_1,,,,2,2,1,3
459_0,,,,2,2,1,3
C(C(C=O)C(CCO)O)(O)=O,,,4,1,7,13,20
459_1,,,,2,2,1,3
461_0,,,,2,2,1,3
C(C(C(C(CCO)O)O)=O)=O,,,4,1,5,17,22
461_1,,,,2,2,1,3
463_0,,,,2,2,1,3
C(C(CC(CCO)O)=O)(O)=O,,,4,1,3,11,14
465_0,,,,2,2,1,3
C(C(CO)C(C(O)=O)(CCO)O)=O,,,4,1,4,14,18
465_1,,,,2,2,1,3
467_0,,,,2,2,1,3
C(CC(C(C)=O)(C(C=O)CO)O)=O,,,4,1,5,14,19
467_1,,,,2,2,1,3
469_0,,,,2,2,1,3
C(C(CO)C(C(CC=O)=O)(C)O)=O,,,4,1,4,15,19
469_1,,,,2,2,1,3
471_0,,,,2,2,1,3
C(C(CO)C(CC(C(C)=O)=O)O)=O,,,4,1,4,14,18
471_1,,,,2,2,1,3
473_0,,,,2,2,1,3
C(C(CO)C(C=O)O)=O,,,4,1,13,34,47
473_1,,,,2,2,1,3
475_0,,,,2,2,1,3
C(C(CO)C(C(C=O)O)O)=O,,,4,1,5,21,26
475_1,,,,2,2,1,3
477_0,,,,2,2,1,3
C(C(CO)C(CO)(CO)O)=O,,,4,1,5,12,17
477_1,,,,2,2,1,3
479_0,,,,2,2,1,3
C(C(CO)C(C(O)=O)(CO)O)=O,,,4,1,7,15,22
479_1,,,,2,2,1,3
481_0,,,,2,2,1,3
C(C(CO)C(C(C(O)=O)(C)O)O)=O,,,4,1,4,14,18
481_1,,,,2,2,1,3
483_0,,,,2,2,1,3
C(C(CO)C(C(C(O)=O)O)O)=O,,,4,1,5,16,21
483_1,,,,2,2,1,3
485_0,,,,2,2,1,3
C(C(CO)C(C=CC)O)=O,,,4,1,10,15,25
485_1,,,,2,2,1,3
487_0,,,,2,2,1,3
