Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
C(C(CO)(CO)O)(O)=O,,,3,1,6,5,11
329_1,,,,2,2,1,3
331_0,,,,2,2,1,3
C(C(C(CC(C)O)O)O)(O)=O,,,3,1,13,11,24
333_0,,,,2,2,1,3
C(C(C)(C(CC(C)O)O)O)(O)=O,,,3,1,8,8,16
335_0,,,,2,2,1,3
C(CC(C(C(O)=O)O)O)(O)=O,,,3,1,13,11,24
337_0,,,,2,2,1,3
C(C(C)(C(CC(O)=O)O)O)(O)=O,,,3,1,7,7,14
339_0,,,,2,2,1,3
C(C(C(C(CO)=O)O)O)(O)=O,,,3,1,21,17,38
341_0,,,,2,2,1,3
C(C(C)(C(C(CO)=O)O)O)(O)=O,,,3,1,11,10,21
343_0,,,,2,2,1,3
C(C(CO)(C(C(O)=O)O)O)=O,,,3,1,16,17,33
345_0,,,,2,2,1,3
C(C(C)(C(C=O)(CO)O)O)(O)=O,,,3,1,11,14,25
347_0,,,,2,2,1,3
C(C(C)(C(C(O)=O)O)O)=O,,,3,1,16,17,33
349_0,,,,2,2,1,3
C(C(C)(C(C=O)(C)O)O)(O)=O,,,3,1,7,9,16
351_0,,,,2,2,1,3
C(C(C(C(C)=O)O)O)(O)=O,,,3,1,29,26,55
353_0,,,,2,2,1,3
C(C(C)(C(C(C)=O)O)O)(O)=O,,,3,1,14,12,26
354_0,,,,2,2,1,3
356_0,,,,2,2,1,3
C(C(CO)(C)O)(O)=O,,,3,1,12,12,24
358_0,,,,2,2,1,3
C(C(CO)(C(C(O)=O)O)O)(O)=O,,,3,1,15,12,27
360_0,,,,2,2,1,3
C(C(C(C)O)O)(O)=O,,,3,1,42,54,96
362_0,,,,2,2,1,3
C(C(C(O)=O)O)(O)=O,,,3,1,32,42,74
364_0,,,,2,2,1,3
C(C(C)(C(C(O)=O)O)O)(O)=O,,,3,1,13,10,23
365_0,,,,2,2,1,3
366_0,,,,2,1,2,3
366_1,,,,2,1,2,3
367_0,,,,2,1,2,3
367_1,,,,2,1,2,3
368_0,,,,2,1,2,3
368_1,,,,2,1,2,3
369_0,,,,2,1,2,3
369_1,,,,2,1,2,3
370_0,,,,2,1,2,3
370_1,,,,2,1,2,3
371_0,,,,2,1,2,3
372_0,,,,2,1,2,3
373_0,,,,2,1,2,3
375_0,,,,2,1,2,3
C(C(C=O)(C)O)(O)=O,,,3,1,23,27,50
376_0,,,,2,1,2,3
378_0,,,,2,1,2,3
C(C(C(C)=O)CO)(O)=O,,,3,1,25,25,50
379_0,,,,2,1,2,3
380_0,,,,2,1,2,3
381_0,,,,2,1,2,3
383_0,,,,2,1,2,3
C(C)(C(C(O)=O)C)=O,,,3,1,64,70,134
385_0,,,,2,1,2,3
C(C(C(CC(O)=O)=O)(C)O)(O)=O,,,3,1,5,8,13
387_0,,,,2,1,2,3
C(C(C(C(C(O)=O)O)=O)C)(O)=O,,,3,1,7,9,16
388_0,,,,2,1,2,3
389_0,,,,2,1,2,3
391_0,,,,2,1,2,3
C(C)=CC=O,,,3,1,212,755,967
393_0,,,,2,1,2,3
C(CC=C)=O,,,3,1,154,511,665
395_0,,,,2,1,2,3
C(C)=CC(C(O)=O)=O,,,3,1,41,63,104
397_0,,,,2,1,2,3
C=CCC(C(O)=O)=O,,,3,1,37,49,86
399_0,,,,2,1,2,3
C(CC(C(O)=O)=C)=O,,,3,1,55,84,139
401_0,,,,2,1,2,3
C(C=C(C(O)=O)C)=O,,,3,1,58,97,155
403_0,,,,2,1,2,3
C(C(C=C)(CO)O)(O)=O,,,3,1,6,7,13
405_0,,,,2,1,2,3
C(C(C(C(O)=O)=C)(CO)O)(O)=O,,,3,1,7,8,15
407_0,,,,2,1,2,3
C=C(C(O)=O)C(C)O,,,3,1,29,46,75
409_0,,,,2,1,2,3
C(C(C=C)(C)O)(O)=O,,,3,1,8,9,17
411_0,,,,2,1,2,3
C=C(C(O)=O)C(O)=O,,,3,1,21,37,58
413_0,,,,2,1,2,3
C(C(C(C(O)=O)=C)(C)O)(O)=O,,,3,1,7,7,14
415_0,,,,2,1,2,3
C(C(C(C(C(O)=O)=C)O)O)(O)=O,,,3,1,8,9,17
417_0,,,,2,1,2,3
C1(C(C=C(C(O)=O)O1)(C)O)=O,,,3,1,2,2,4
419_0,,,,2,1,2,3
C(C1(C=C(C(O1)=O)C)O)(O)=O,,,3,1,3,4,7
421_0,,,,2,1,2,3
C(C1(CC(C(O1)=O)=C)O)(O)=O,,,3,1,4,6,10
423_0,,,,2,1,2,3
C1(C(C)=CC(C(O1)=O)=O)=O,,,3,1,13,14,27
425_0,,,,2,1,2,3
C=C1C(OC(C(C1)=O)=O)=O,,,3,1,16,15,31
427_0,,,,2,1,2,3
[C](C(O)=O)=CC(C(O)=O)(C)O,,,3,1,5,5,10
429_0,,,,2,1,2,3
C(C(C)=C[C](C(O)=O)O)(O)=O,,,3,1,4,3,7
431_0,,,,2,1,2,3
C=C(C(O)=O)C[C](C(O)=O)O,,,3,1,5,6,11
433_0,,,,2,1,2,3
C(C(C=CC(O)=O)(C)O)(O)=O,,,3,1,5,7,12
435_0,,,,2,1,2,3
C(C(C=C(C(O)=O)C)O)(O)=O,,,3,1,7,6,13
437_0,,,,2,1,2,3
C(C(CC(C(O)=O)=C)O)(O)=O,,,3,1,8,9,17
439_0,,,,2,2,1,3
CC(C(CO)O)O,,,3,1,18,29,47
441_0,,,,2,2,1,3
C(C(C(C(C)O)O)O)(O)=O,,,3,1,15,15,30
442_0,,,,2,2,1,3
444_0,,,,2,2,1,3
C(C(C)(C(CO)O)O)(O)=O,,,3,1,8,7,15
446_0,,,,2,2,1,3
C(C(C(C(O)=O)O)O)(O)=O,,,3,1,11,11,22
447_0,,,,2,2,1,3
449_0,,,,2,2,1,3
C(C(CO)O)(CC(C(O)=O)=O)=O,,,3,1,12,15,27
450_0,,,,2,2,1,3
452_0,,,,2,2,1,3
C(C(CO)O)=O,,,3,1,149,327,476
453_0,,,,2,2,1,3
455_0,,,,2,2,1,3
C(C1(C)C(C(C(O1)=O)O)O)(O)=O,,,3,1,7,5,12
457_0,,,,2,2,1,3
C1(C(C)(C(C(C(O1)=O)O)O)O)=O,,,3,1,8,8,16
458_0,,,,2,2,1,3
460_0,,,,2,2,1,3
C(C(C)C(C(C(O)=O)=O)O)(O)=O,,,3,1,4,7,11
461_0,,,,2,2,1,3
463_0,,,,2,2,1,3
C(C(CO)CC(C(O)=O)=O)(O)=O,,,3,1,7,10,17
464_0,,,,2,2,1,3
466_0,,,,2,2,1,3
C([CH]CO)(O)=O,,,3,1,8,39,47
467_0,,,,2,2,1,3
468_0,,,,2,2,1,3
470_0,,,,2,1,2,3
C=C,,,3,1,2,1,3
472_0,,,,2,1,1,2
C1(C(C)(CC(O)O1)O)=O,,,3,1,3,7,10
474_0,,,,2,1,1,2
C(C)(C1(CC(C(O1)=O)=O)O)=O,,,3,1,7,9,16
475_0,,,,2,1,1,2
477_0,,,,2,1,1,2
C1(C2(C)CC(C(O2)=O)(O)O1)=O,,,3,1,2,1,3
479_0,,,,2,1,1,2
C1(C(C)(O)OC(C(C1)=O)=O)=O,,,3,1,5,6,11
480_0,,,,2,1,1,2
481_0,,,,2,1,2,3
482_0,,,,2,1,2,3
483_0,,,,2,1,2,3
484_0,,,,2,1,2,3
485_0,,,,2,1,2,3
487_0,,,,2,1,2,3
C(CO)=O,,,3,1,405,1174,1579
489_0,,,,2,1,2,3
C1(C(OC(C)C1)=O)=O,,,3,1,50,74,124
491_0,,,,2,1,2,3
C1(CC(C(O1)=O)=O)=O,,,3,1,44,68,112
493_0,,,,2,1,2,3
C1(C(C)(C(C(O)=O)(CO1)O)O)=O,,,3,1,8,6,14
495_0,,,,2,1,2,3
C1(C(CO)(C(C(O1)=O)(C)O)O)=O,,,3,1,9,8,17
497_0,,,,2,1,2,3
C1(C(C)(C(C(O1)=O)(C)O)O)=O,,,3,1,3,2,5
498_0,,,,2,1,2,3
500_0,,,,2,1,2,3
C1(C(C)(C(C(C(O)=O)O1)O)O)=O,,,3,1,7,5,12
501_0,,,,2,1,2,3
502_0,,,,2,1,1,2
504_0,,,,2,1,2,3
C(C1(C)C[C](C(O1)=O)O)(O)=O,,,3,1,3,2,5
506_0,,,,2,1,2,3
C1(C(C)(C[C](C(O)=O)O1)O)=O,,,3,1,4,3,7
508_0,,,,2,1,2,3
C(C1(C)CC(C(O1)=O)O)(O)=O,,,3,1,5,3,8
510_0,,,,2,1,2,3
C1(C(C)(CC(C(O)=O)O1)O)=O,,,3,1,5,4,9
511_0,,,,2,1,2,3
512_0,,,,2,1,2,3
514_0,,,,2,1,2,3
C1(C(C)(C[C](C(O1)=O)O)O)=O,,,3,1,4,5,9
516_0,,,,2,1,2,3
C1(C(C)(CC(C(O1)=O)O)O)=O,,,3,1,6,6,12
518_0,,,,2,2,1,3
C(C(C(C)O)C[CH]C(O)=O)=O,,,3,1,9,11,20
520_0,,,,2,2,1,3
C(C(CCC(O)=O)C(C)O)=O,,,3,1,9,11,20
522_0,,,,2,2,1,3
C(CC(CC[CH]C(O)=O)O)=O,,,3,1,7,10,17
524_0,,,,2,2,1,3
C(CCCC(CC=O)O)(O)=O,,,3,1,7,10,17
526_0,,,,2,2,1,3
C(CC(C)(C[CH]C(O)=O)O)=O,,,3,1,9,12,21
528_0,,,,2,2,1,3
C(CCC(C)(CC=O)O)(O)=O,,,3,1,9,12,21
530_0,,,,2,2,1,3
C(C(C(O)=O)C[CH]C(O)=O)=O,,,3,1,7,10,17
532_0,,,,2,2,1,3
C(C(C(O)=O)CCC(O)=O)=O,,,3,1,7,10,17
534_0,,,,2,2,1,3
C([CH]CC(C(C=O)=O)O)(O)=O,,,3,1,9,13,22
536_0,,,,2,2,1,3
C(CCC(C(C=O)=O)O)(O)=O,,,3,1,9,13,22
538_0,,,,2,2,1,3
