,Gen,ID,nC,nH,nO,MW,nAcid,nBase,nHBAcc,nHBDon
1041,3,C1(C(O)OCC(CC1O)O)=O,6,10,5,162.05282342,0,0,5,3
1042,3,C1(COC(C(CC1O)O)O)=O,6,10,5,162.05282342,0,0,5,3
1043,3,C1(C(CCOC(C1O)O)O)=O,6,10,5,162.05282342,0,0,5,3
1044,3,C(C(CCN)O)(C(CO)O)=O,6,13,4,163.084457896,0,1,5,4
1045,3,C(CN)(C(CC(CO)O)O)=O,6,13,4,163.084457896,0,1,5,4
1046,3,C(CO)(C(CC(CN)O)O)=O,6,13,4,163.084457896,0,1,5,4
1047,3,C(C(CCO)O)(C(CN)O)=O,6,13,4,163.084457896,0,1,5,4
1048,3,C(C(CC(C(CN)O)O)O)=O,6,13,4,163.084457896,0,1,5,4
1049,3,C(C(C(CN)O)O)(C(C)O)=O,6,13,4,163.084457896,0,1,5,4
1050,3,C(C(CCC(C=O)O)O)(O)=O,6,10,5,162.05282342,1,0,4,3
1051,3,C(CC(C(O)=O)O)(C(C)O)=O,6,10,5,162.05282342,1,0,4,3
1052,3,C(C(C(C(CCO)=O)=O)O)=O,6,8,5,160.037173356,0,0,5,2
1053,3,C(C(C(C(CCO)O)=O)=O)=O,6,8,5,160.037173356,0,0,5,2
1054,3,C(C(C=O)O)(CC(CO)=O)=O,6,8,5,160.037173356,0,0,5,2
1055,3,C(C(CC(C(C=O)=O)O)O)=O,6,8,5,160.037173356,0,0,5,2
1056,3,C(C(C(C(C(C)=O)O)=O)O)=O,6,8,5,160.037173356,0,0,5,2
1057,3,C(C(C)O)(C(C(C=O)=O)O)=O,6,8,5,160.037173356,0,0,5,2
1058,3,C(C(C(C(CC=O)O)=O)O)=O,6,8,5,160.037173356,0,0,5,2
1059,3,C(CO)=CC(C(CO)=O)=O,6,8,4,144.042258736,0,0,4,2
1060,3,C(C(C(C=O)=O)O)=CCO,6,8,4,144.042258736,0,0,4,2
1061,3,C(CO)(C(C=CC=O)O)=O,6,8,4,144.042258736,0,0,4,2
1062,3,C(CO)(C(C(C=C)=O)O)=O,6,8,4,144.042258736,0,0,4,2
1063,3,C(C(C(C(C=C)O)=O)O)=O,6,8,4,144.042258736,0,0,4,2
1064,3,C(C=CC(CO)=O)(CO)=O,6,8,4,144.042258736,0,0,4,2
1065,3,C(C(C=CC(C=O)O)O)=O,6,8,4,144.042258736,0,0,4,2
1066,3,C(C(C(C(C(CO)O)NC)O)O)=O,7,15,5,193.09502258,0,1,6,5
1067,3,C(CC(C(C(CO)NC)=O)O)=O,7,13,4,175.084457896,0,1,5,3
1068,3,C(C(CO)=O)(CC(CO)NC)=O,7,13,4,175.084457896,0,1,5,3
1069,3,C(C(C(CC(CO)NC)O)=O)=O,7,13,4,175.084457896,0,1,5,3
1070,3,C(C(C(C(CCO)O)=O)NC)=O,7,13,4,175.084457896,0,1,5,3
1071,3,C(CCNC)(C(C(CO)=O)O)=O,7,13,4,175.084457896,0,1,5,3
1072,3,C(C(C(C(CCNC)O)=O)O)=O,7,13,4,175.084457896,0,1,5,3
1073,3,C(C(C(C(C)=O)O)NC)(CO)=O,7,13,4,175.084457896,0,1,5,3
1074,3,C(C(C(C=O)O)NC)(C(C)O)=O,7,13,4,175.084457896,0,1,5,3
1075,3,C(CC(C(C(CO)=O)NC)O)=O,7,13,4,175.084457896,0,1,5,3
1076,3,C(C(C(C(C(CO)O)NC)=O)O)=O,7,13,5,191.079372516,0,1,6,4
1077,3,C(CNC(C(CO)=O)CO)(O)=O,6,11,5,177.063722452,1,1,5,4
1078,3,C(CO)(C1(CC(CO1)O)O)=O,6,10,5,162.05282342,0,0,5,3
1079,3,C(CO)(C1C(CC(O1)O)O)=O,6,10,5,162.05282342,0,0,5,3
1080,3,C1(C(C(CO)O)OC(C1O)O)=O,6,10,6,178.04773804,0,0,6,4
